"Country","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Pre-Primary:Males","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Pre-Primary:Females","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Pre-Primary:Individuals with Disabilities","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Pre-Primary:Individuals at Risk","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Pre-Primary:Total","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Primary and Secondary:Males","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Primary and Secondary:Females","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Primary and Secondary:Individuals with Disabilities","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Primary and Secondary:Individuals at Risk","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Primary and Secondary:Total","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Tertiary, Vocational, and Other Workforce:Males","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Tertiary, Vocational, and Other Workforce:Females","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Tertiary, Vocational, and Other Workforce:Individuals with Disabilities","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Tertiary, Vocational, and Other Workforce:Individuals at Risk","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Tertiary, Vocational, and Other Workforce:Total","Number of individuals (children, youth, and adults) who received education interventions in formal and non-formal settings:Total - All","Number of children and youth who received health and nutrition services:Males","Number of children and youth who received health and nutrition services:Females","Number of children and youth who received health and nutrition services:Total","Number of schools that received U.S. Government assistance","Number of teachers/educators who received training/professional development:Males","Number of teachers/educators who received training/professional development:Females","Number of teachers/educators who received training/professional development:Trained in Special Education","Number of teachers/educators who received training/professional development:Total","Number of educational facilities (school, classrooms, libraries, labs, latrines) built or repaired","Number of textbooks and other teaching and learning materials provided","Number of learners with increased access to education","Number of individuals with new employment","Number of individuals supported by WFD programming with improved soft skills","Empty row?"
Afghanistan,,,,,,"70,117","251,683",,"339,248","339,248",679,"1,618",,"1,389","2,297","341,545",,,,302,75,362,,437,7,,,,,FALSE
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Argentina,,,,,,,,,,,,,,,,,,,,,64,60,,124,,,,,,FALSE
Armenia,,,,,,523,535,,,"1,058","1,742","1,915",,,"3,657","4,715",,,,,,,,,,,,,,FALSE
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Azerbaijan,,,,,,,,,,,"2,389","2,814",,,"5,203","5,203",,,,,7,491,,498,,,400,63,710,FALSE
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Bangladesh,,,,,,"417,992","466,631","5,549","329,113","929,389",598,600,,,"1,198","930,587","21,049","23,717","44,766",140,"9,927","11,922","5,956","16,101",26,"93,318",,51,"4,708",FALSE
Barbados,,,,,,,,,,,,,,,117,117,,,,78,,,,717,,,,,,FALSE
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Benin,,,,,,927,776,,,"105,091",,,,,,"105,091","50,727","52,092","102,819",312,636,755,,44,19,,,52,52,FALSE
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,60,676,"1,893",,"2,569",,,,,,FALSE
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Burkina Faso,,,,,,,,,,"82,875",,,,,,"82,875",,,,338,,,,,,"6,230",,,,FALSE
Burma,"5,600","5,252",,"10,852","10,852","86,633","93,727",,"180,249","180,360",76,100,2,178,178,"191,390",,,,,,,,,,"94,126",49,,,FALSE
Burundi,,,,,,,,,,,,,,,630,630,,,,14,,,,,32,,,,,FALSE
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Cambodia,,,,,,"107,361","99,088",,,"327,936","5,861","7,698",2,,"14,539","342,475",,,"121,487","1,147","2,266","2,930",,"5,196",120,"349,431",,,77,FALSE
Cameroon,,,,,,,,,,"119,686",,,,,,"119,686","59,083","58,411","117,494",240,6,2,,8,62,"1,027",,,,FALSE
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Central African Republic,,,,,,,,,,,,,,,394,394,,,,,,,,,,,,,,FALSE
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
China,,,,,,,,,,,15,29,,,44,44,,,,,,,,,,,,,,FALSE
Colombia,,,,,,"34,640","32,345",898,"11,315","66,985","10,275","15,665",,377,"26,020","93,005",,,,,73,133,,206,,,,,,FALSE
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Congo (Brazzaville),,,,,,,,,,"91,417",,,,,,"91,417","48,451","42,966","91,417",,878,779,,,20,,,,,FALSE
Congo (Kinshasa),"4,516","5,350",,,"14,603","162,864","170,936","3,581","214,386","359,586",22,6,,,446,"374,635",,,,785,"1,342","1,036",,"2,378",,"133,017",902,,,FALSE
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Costa Rica,,,,,,"3,039","3,041",,,"6,080",,,,,,"6,080",,,,,,,,,,,,,,FALSE
Côte d’Ivoire,,,,,,15,8,,,"130,683",,,,,,"130,683",,,"125,330",613,,,,,138,"5,517",,,,FALSE
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Djibouti,,,,,,"31,717","27,362",,,"59,079",,,,,,"59,079",,,,125,81,113,,194,,,,,,FALSE
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Dominican Republic,"32,373","31,615",,,"64,988","271,257","253,649",,,"524,906",,,,,,"589,894",,,,,29,66,75,95,,,,,,FALSE
Ecuador,,,,,,"6,229","6,325",,,"12,554",,,,,,"12,554",,,,,7,10,,17,,,,,,FALSE
Egypt,,,,,,"45,564","61,552",,,"107,116","26,157","24,982",9,,"51,139","158,255",,,,461,"94,790","131,971",,"226,761",4,,,"15,033",849,FALSE
El Salvador,,,,,,"4,836","5,308",5,"10,144","10,144","4,559","6,182",674,"2,650","10,751","20,895",,,,233,462,"1,113",,"1,575",,,"1,577",364,,FALSE
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Eswatini,,,,,,"1,033","1,022",,,"2,055",,,,,,"2,055",,,,,,,,,,,,,,FALSE
Ethiopia,"6,627","6,425",,"13,052","13,052","275,283","263,059",,"538,342","707,856","5,851","8,194",481,,"16,917","737,825",,,"702,033","2,046","2,810","3,098",,"5,680",132,,,,,FALSE
Fiji,,,,,,27,26,,,53,,,,,,53,,,,,,,,70,,,,,,FALSE
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
"Gambia, The",,,,,,322,364,,,686,,,,,,686,,,,,271,276,,547,15,,,,,FALSE
Georgia,,,,,,"150,991","141,928","6,517",220,"292,919","9,006","13,949",10,,"24,239","317,158",,,,,837,"20,143",448,"20,980",,,,637,,FALSE
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Ghana,,,,,,"859,397","823,241",,,"1,682,638",,478,,,478,"1,683,116",,,,"16,569",158,236,,394,20,,,,,FALSE
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Guatemala,,,,,,"23,180","21,950",74,,"231,231","5,532","12,513",,,"19,328","250,559","33,103","50,067","215,040","1,695","1,295","5,409","1,600","1,600",461,"90,045",,"2,172","6,436",FALSE
Guinea,,,,,,372,215,,,587,,,,,30,617,,,,,,,,,1,,,,,FALSE
Guinea-Bissau,,,,,,,,,,"89,853",,,,,,"89,853","44,794","44,991","89,785",349,"1,802","4,082",,,,"71,708",,,,FALSE
Guyana,,,,,,169,118,,,287,,,,,,287,,,,,5,28,,33,,,,,,FALSE
Haiti,811,863,,"1,674","1,674","6,485","6,017",,"12,502","109,751",,,,,,"111,425","50,451","46,798","97,249",558,220,"1,629",354,354,185,"104,730","2,371",,,FALSE
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Honduras,,,,,,"70,625","72,066",,"118,752","237,970","38,785","48,970","1,319",,"87,755","325,725",,,"106,608","2,707",546,"3,347",,"2,007",69,"145,224",,"6,263",270,FALSE
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
India,,,,,,"4,319,851","4,232,030",,,"8,551,881",454,808,,,"1,262","8,553,143",,,,,"72,613","86,452",,"159,065",,,,39,783,FALSE
Indonesia,,,,,,"3,482","4,213",,,"7,695","2,560","3,327",,,"5,887","13,582",,,,,,,,,,,73,38,,FALSE
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Iraq,370,378,,,748,"4,032","4,813",,,"8,845",,,,186,599,"10,192",,,,,5,54,59,59,40,,,14,,FALSE
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Jamaica,,,,,,175,124,,,299,,,,,,299,,,,,,,,,3,,,,,FALSE
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Jordan,,,,,,"709,760","770,753","9,636",,"1,604,033",,,90,,"13,512","1,617,545",,,,,"4,295","7,861",,"12,156",229,"2,539,898",,,,FALSE
Kazakhstan,,,,,,250,250,,,500,,,,,,500,,,,,,,,,,,,,,FALSE
Kenya,,,,,,"1,643,234","1,557,106","5,042",,"3,200,340","3,550","4,081",,,"7,631","3,207,971",,,,"23,235","12,506","36,896",,"49,402",,"11,034",,79,,FALSE
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
"Korea, North",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
"Korea, South",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Kosovo,,,,,,"1,383","1,159",,,"2,542",264,203,,,467,"3,009",,,,,2,2,,4,,,,11,,FALSE
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Kyrgyzstan,,,,,,"243,431","234,513",,,"509,851",165,320,12,,485,"510,336","13,928","13,758","27,686","2,098",71,"12,324",,"12,395",53,,,,,FALSE
Laos,"5,642","5,744",,,"11,386","7,084","6,146",,,"220,054",74,104,,,178,"231,618","47,088","46,014","180,140","1,928",267,"1,062",,91,"1,130","28,958",,,,FALSE
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Lebanon,,,,,,"83,169","78,512",,,"161,681","32,610","32,225",7,741,"64,879","226,560",,,,882,845,"9,526",,"10,371",,"33,057",,275,644,FALSE
Lesotho,,,,,,437,395,,,832,,,,,,832,,,,,4,17,,21,6,,,,,FALSE
Liberia,"7,756","7,323",,,"15,079","9,403","9,332",,,"67,578",392,847,,847,"3,429","86,086","139,418","136,184","275,602",474,,,,,181,,,,,FALSE
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Madagascar,,,,,,"1,781","1,904",,,"89,863",1,1,2,,2,"89,865","16,000","18,767","34,767",131,491,399,,14,271,"45,980",,5,,FALSE
Malawi,,,,,,"1,740,898","1,742,548","85,423",,"3,562,635","5,783","2,827",4,,"8,610","3,571,245","46,368","56,343","102,711","6,047","19,228","19,507",189,"32,872",210,"3,390,749","16,409",,,FALSE
Malaysia,,,,,,,,,,,,,,,,,,,,,11,22,,33,,,,,,FALSE
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Mali,,,,,,"22,098","32,485",405,"54,583","137,201",,,,,146,"137,347",,,"83,770",277,291,330,,621,66,"33,532",,,,FALSE
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Mauritania,,,,,,,,,,"72,547",169,306,,,475,"73,022","35,803","39,684","75,487",209,"1,590","1,060",,,16,"107,878",,,,FALSE
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Mexico,,,,,,"1,726","1,930",,,"3,656",,,,,"9,230","12,886",,,,,,,,,,,,,,FALSE
"Micronesia, Federated States of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Moldova,,,,,,,,,,,,,,,300,300,,,,,,,,,,,,,,FALSE
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Mongolia,,,,,,"1,436","1,703",,,"3,139",,,,,,"3,139",,,,,18,203,,221,,,,,,FALSE
Montenegro,,,,,,,,,,,79,234,12,,335,335,,,,,,,,,,,,,,FALSE
Morocco,,,,,,"44,306","44,268",,,"88,574","2,991","2,252",,,"5,285","93,859",,,,,4,4,8,8,33,,,"1,021",,FALSE
Mozambique,,,,,,,,,,"1,587,214",681,698,43,,"9,129","1,596,343","63,293","71,510","134,803","3,373","1,359","2,340",,"12,573",128,"1,956,339","385,608",90,,FALSE
Namibia,,,,,,65,92,,,157,,,,,,157,,,,,,,,,1,,,,,FALSE
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Nepal,,,,,,986,947,446,,"271,128",179,225,4,,408,"271,536","93,118","108,466","201,584","1,665","9,169","6,670",81,260,948,"187,718",,,,FALSE
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Nicaragua,,,,,,,,,,"70,617","2,024","2,159",186,,"4,183","74,800","35,829","34,492","70,321","1,115",191,379,,,61,"421,690",,,,FALSE
Niger,,,,,,,,,,,,,,,73,73,,,,,,,,,25,,,,,FALSE
Nigeria,,,,,,"834,490","725,205","2,705","48,671","1,559,695",13,11,748,8,"18,824","1,578,519",,,,"12,421","2,416","2,493","2,022","4,909",33,"696,292","55,865",,,FALSE
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
North Macedonia,,,,,,805,837,,,"1,642",,,,,"26,984","28,626",,,,,,,,,,,,,,FALSE
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Pakistan,,,,,,"7,246","17,948",,"25,127","25,194","8,213","12,598",,"1,060","20,811","46,005",,,,,,,,,,,"26,721",,,FALSE
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Panama,,,,,,217,143,,,360,,,,,,360,,,,,,,,,,,,,,FALSE
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Paraguay,,,,,,,,,,,998,"2,364",19,,"3,362","3,362",,,,,,,,,,,,,,FALSE
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Philippines,"700,265","640,469",,,"1,340,734","2,112,467","1,932,091",30,,"4,044,558","19,970","16,165",13,,"94,249","5,479,541",,,,"33,088","8,672","116,703",94,"125,375",,########,"1,350",763,,FALSE
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Rwanda,"85,220","92,036","3,032",,"177,256","354,624","356,671","12,764",,"829,403","36,479","112,290",85,,"148,769","1,155,428","59,936","58,172","118,108","6,377","6,327","22,191","27,662","27,662",164,140,,628,"1,214",FALSE
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Senegal,"1,438","1,607",,,"3,045","227,282","266,522","1,420","17,996","615,593",779,615,55,580,"2,000","620,638","32,292","33,173","123,880","5,732","7,625","4,908",,"9,608",134,"21,285","6,192",,,FALSE
Serbia,,,,,,,,,,,,,,,,,,,,,499,"1,122",,"1,621",,,,,,FALSE
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Sierra Leone,,,,,,958,925,,,"61,291",,,,,,"61,291","31,418","31,248","62,666",310,,,,,108,"14,091",,,,FALSE
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Somalia,,,,,,"25,860","22,155",,"48,015","48,015",,,,,,"48,015",,,,,"1,601",559,,"2,160",175,"572,952",,,"9,448",FALSE
South Africa,,,,,,18,23,,,41,136,628,,,764,805,,,,,"3,267",3,,"1,579",2,,,,,FALSE
South Sudan,,,,,,"16,642","21,744",89,"38,386","38,386",,,,,,"38,386",,,,,,,,,2,,"5,141",,,FALSE
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Sri Lanka,,,,,,,,,,"110,107","27,053","13,337",,,"40,966","151,073","56,212","53,892","110,107",838,,255,,,30,447,,"7,801",,FALSE
Sudan,,,,,,,,,,,,,,,"1,046","1,046",,,,,,,,,11,,,,,FALSE
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Syria,,,,,,,,,,,,,,,,,,,,,,,,"1,875",,,,,,FALSE
Tajikistan,,,,,,"91,799","85,578",,,"177,377",174,98,,,272,"177,649",,,,400,"1,095","6,485","6,730","7,580",9,,,,,FALSE
Tanzania,"131,914","128,405",,,"260,319","650,908","635,533",,,"1,286,441",184,215,8,,"5,142","1,551,902",,,,,"6,913","13,542",,"20,445",,"19,321",,,,FALSE
Thailand,,,,,,"2,253","2,080",,,"4,333",67,106,,,173,"4,506",,,,,,,,,,,,,,FALSE
Timor-Leste,,,,,,877,925,,,"292,926",75,159,,,234,"293,160",,,"35,370",468,228,430,,90,222,"860,612",,,,FALSE
Togo,,,,,,569,493,,,"53,708",,,,,,"53,708","26,934","34,228","61,162",138,7,,,7,137,"83,174",,,,FALSE
Tonga,,,,,,16,17,,,,,,,,,,,,,,,,,,,,,,,FALSE
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Tunisia,,,,,,,,,,289,"1,217","1,711",,,"2,928","3,217",,,,,,,,10,,,,,,FALSE
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Turkmenistan,,,,,,,,,,,,,,,"100,000","100,000",,,,,,,,,,,,40,212,FALSE
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Uganda,,,,,,"1,613,530","1,636,725",,"35,241","3,250,255","391,102","305,391",2,,"710,883","3,961,138",,,,"5,828","3,473","4,703",,"8,176",18,"4,209,072",,,,FALSE
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Uzbekistan,,,,,,,,,,"820,556",57,89,,,146,"820,702",,,"56,886","1,366",485,"6,265",,"6,750",94,"35,844",,,,FALSE
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
Vietnam,,,,,,"2,999","3,617",,,"6,616",,,,,,"6,616",,,,,,,,,,,,,,FALSE
Yemen,,,,,,"100,291","94,574","1,562","194,865","194,865",,,,,,"194,865",,,,,682,728,,"1,410",,,,,,FALSE
Zambia,,,,,,"449,092","471,419","18,507",,"920,511","1,121","2,240",137,,"3,361","923,872",,,,"5,182","6,527","10,135",,"16,662",,"1,952,760",,,,FALSE
Zimbabwe,,,,,,,,,,,722,"1,082","1,804",,"1,804","1,804",,,,,,,,,,,,,,FALSE
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE